# tracer: nop
#
# entries-in-buffer/entries-written: 78/78   #P:12
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
        trace_me-190405  [009] ...1. 188291.076298: sys_openat(dfd: ffffff9c, filename: 55be32bca009, flags: 241, mode: 1a4)
        trace_me-190405  [009] ...1. 188291.076412: sys_openat -> 0x3
        trace_me-190405  [009] ...1. 188291.076416: sys_write(fd: 3, buf: 55be32bca018, count: 10)
        trace_me-190405  [009] ...1. 188291.076451: sys_write -> 0x10
        trace_me-190405  [009] ...1. 188291.076460: sys_close(fd: 3)
        trace_me-190405  [009] ...1. 188291.076525: sys_close -> 0x0
        trace_me-190405  [009] ...1. 188291.076555: sys_clone(clone_flags: 1200011, newsp: 0, parent_tidptr: 0, child_tidptr: 7f3373d5fa10, tls: 0)
        trace_me-190405  [009] ...1. 188291.076680: sys_clone -> 0x2e7c6
        trace_me-190405  [009] ...1. 188291.076692: sys_wait4(upid: ffffffff, stat_addr: 0, options: 0, ru: 0)
        trace_me-190406  [008] ...1. 188291.076700: sys_clone -> 0x0
        trace_me-190406  [008] ...1. 188291.076716: sys_set_robust_list(head: 7f3373d5fa20, len: 18)
        trace_me-190406  [008] ...1. 188291.076717: sys_set_robust_list -> 0x0
        trace_me-190406  [008] ...1. 188291.076749: sys_clock_nanosleep(which_clock: 0, flags: 0, rqtp: 7ffd0e35c2a0, rmtp: 0)
        trace_me-190406  [008] ...1. 188291.577015: sys_clock_nanosleep -> 0x0
        trace_me-190406  [004] ...1. 188291.577358: sys_exit_group(error_code: 0)
        trace_me-190405  [009] ...1. 188291.577669: sys_wait4 -> 0x2e7c6
        trace_me-190405  [009] ...1. 188291.577690: sys_munmap(addr: 7f3373f6b000, len: 1000)
        trace_me-190405  [009] ...1. 188291.577712: sys_munmap -> 0x0
        trace_me-190405  [009] ...1. 188291.577763: sys_exit_group(error_code: 0)
